
#####################################################################################################
###################################MATCHES###########################################################
#####################################################################################################
28 - 77, <Org>
232 - 252, <Person>
315 - 317, <Location>
323 - 356, <Org>
673 - 675, <Location>
800 - 810, <Location>
838 - 858, <Person>
980 - 1016, <Org>
980 - 1016, <Org>
1027 - 1059, <Org>
1027 - 1059, <Org>
1280 - 1283, <Org>
1332 - 1349, <Org>
1421 - 1432, <Location>
1516 - 1527, <Location>
1544 - 1552, <Location>
1753 - 1773, <Org>
1802 - 1814, <Location>
1863 - 1875, <Org>
2162 - 2176, <Org>
2364 - 2374, <Location>
2399 - 2405, <Org>
2426 - 2429, <Person>
2491 - 2506, <Person>
2510 - 2520, <Location>
2544 - 2562, <Org>
2680 - 2690, <Location>
2820 - 2841, <Location>
2862 - 2880, <Location>
2899 - 2917, <Person>
3040 - 3062, <Location>
3137 - 3163, <Location>
3166 - 3176, <Location>
3307 - 3325, <Location>
3331 - 3355, <Location>
3418 - 3427, <Location>
3432 - 3437, <Location>
3440 - 3450, <Location>
3485 - 3505, <Location>
3561 - 3573, <Location>
3662 - 3673, <Location>
3865 - 3878, <Location>
3956 - 3964, <Location>
4088 - 4100, <Person>
4119 - 4134, <Location>
4352 - 4363, <Location>
4383 - 4395, <Location>
4551 - 4566, <Location>
4667 - 4678, <Location>
4815 - 4826, <Location>
4968 - 4981, <Location>
5801 - 5827, <Org>
6007 - 6025, <Location>
6145 - 6180, <Location>
6185 - 6202, <Org>
6324 - 6337, <Location>
6342 - 6347, <Location>
6402 - 6415, <Location>
6487 - 6500, <Person>
6516 - 6530, <Org>
6635 - 6675, <Org>
6721 - 6734, <Location>
6765 - 6777, <Location>
6825 - 6841, <Location>
7120 - 7143, <Person>
7146 - 7157, <Location>
7394 - 7427, <Person>
7547 - 7572, <Person>
7658 - 7669, <Location>
7735 - 7750, <Location>
7942 - 7957, <Location>
7997 - 8008, <Location>
8129 - 8145, <Location>
8208 - 8219, <Location>
8451 - 8457, <Person>
8616 - 8641, <Location>
8661 - 8672, <Person>
9248 - 9263, <Person>
9277 - 9303, <Location>
9395 - 9421, <Person>
9457 - 9481, <Location>
9554 - 9575, <Person>
9753 - 9764, <Person>
