
#####################################################################################################
###################################MATCHES###########################################################
#####################################################################################################
201 - 215, <Person>
218 - 247, <Person>
303 - 345, <Person>
370 - 374, <Org>
409 - 416, <Person>
559 - 570, <Org>
548 - 570, <Person>
610 - 627, <Org>
740 - 766, <Person>
851 - 885, <Person>
851 - 885, <Person>
918 - 929, <Location>
918 - 929, <Location>
1009 - 1015, <Org>
998 - 1059, <Person>
1128 - 1134, <Org>
1164 - 1177, <Person>
1239 - 1248, <Person>
1313 - 1320, <Location>
1362 - 1368, <Org>
1448 - 1455, <Location>
1458 - 1466, <Location>
1479 - 1483, <Person>
1528 - 1534, <Location>
1536 - 1541, <Location>
1544 - 1550, <Location>
1608 - 1622, <Location>
1713 - 1729, <Org>
1756 - 1762, <Person>
1799 - 1812, <Event>
1877 - 1895, <Org>
1897 - 1904, <Location>
1970 - 1982, <Person>
2142 - 2161, <Location>
2201 - 2223, <Org>
2201 - 2223, <Org>
2348 - 2355, <Person>
2461 - 2465, <Person>
2518 - 2527, <Person>
2605 - 2612, <Location>
2633 - 2642, <Person>
2670 - 2674, <Person>
2731 - 2738, <Person>
2926 - 2935, <Person>
3202 - 3211, <Person>
3229 - 3236, <Location>
3247 - 3252, <Person>
3379 - 3395, <Person>
3539 - 3545, <Location>
3548 - 3561, <Location>
3562 - 3572, <Person>
3830 - 3838, <Location>
3851 - 3858, <Product>
3851 - 3858, <Product>
3953 - 3969, <Person>
4018 - 4022, <Person>
4036 - 4066, <Org>
4036 - 4066, <Org>
4204 - 4208, <Person>
4327 - 4334, <Person>
4501 - 4509, <Person>
4693 - 4697, <Person>
5106 - 5113, <Person>
5295 - 5314, <Location>
5316 - 5328, <Person>
5568 - 5576, <Org>
5568 - 5576, <Org>
5578 - 5597, <Person>
5578 - 5597, <Person>
5631 - 5649, <Person>
5746 - 5757, <Person>
5883 - 5899, <Person>
5902 - 5917, <Person>
5961 - 5970, <Person>
6049 - 6055, <Person>
6116 - 6126, <Location>
6128 - 6148, <Location>
6152 - 6171, <Person>
6308 - 6316, <Person>
6672 - 6680, <Person>
18753 - 18763, <Person>
18814 - 18824, <Location>
20093 - 20108, <Person>
20109 - 20117, <Location>
20119 - 20134, <Location>
20309 - 20324, <Person>
20327 - 20344, <Person>
20348 - 20356, <Location>
20470 - 20484, <Person>
20485 - 20492, <Location>
20668 - 20681, <Person>
20683 - 20693, <Location>
21383 - 21396, <Org>
21383 - 21396, <Org>
21383 - 21396, <Org>
22008 - 22013, <Org>
23142 - 23147, <Person>
23312 - 23319, <Person>
23330 - 23346, <Person>
23383 - 23390, <Person>
23452 - 23456, <Person>
23465 - 23470, <Person>
23618 - 23622, <Person>
23767 - 23771, <Person>
23781 - 23785, <Person>
23796 - 23800, <Person>
23961 - 23965, <Person>
23975 - 23979, <Person>
23994 - 23998, <Person>
24005 - 24009, <Person>
24022 - 24026, <Person>
24036 - 24040, <Person>
24081 - 24091, <Person>
24122 - 24130, <Person>
24258 - 24263, <Person>
24285 - 24291, <Person>
24323 - 24329, <Person>
24443 - 24457, <Person>
24574 - 24579, <Person>
24897 - 24902, <Person>
24945 - 24952, <Person>
25154 - 25158, <Person>
25195 - 25201, <Person>
25294 - 25299, <Person>
25385 - 25389, <Person>
25429 - 25447, <Person>
25449 - 25453, <Person>
25456 - 25463, <Person>
25546 - 25551, <Person>
25609 - 25614, <Person>
25726 - 25732, <Person>
25796 - 25809, <Person>
26003 - 26008, <Person>
26023 - 26035, <Person>
26123 - 26127, <Person>
26130 - 26134, <Person>
26182 - 26186, <Person>
26298 - 26304, <Person>
26471 - 26478, <Person>
26725 - 26736, <Person>
27227 - 27246, <Person>
28205 - 28224, <Person>
28456 - 28469, <Event>
28514 - 28521, <Location>
28617 - 28624, <Person>
28638 - 28642, <Person>
28687 - 28692, <Org>
28724 - 28727, <Person>
28852 - 28856, <Person>
29081 - 29085, <Person>
29120 - 29124, <Person>
29606 - 29610, <Person>
29748 - 29752, <Person>
29763 - 29789, <Person>
29763 - 29789, <Person>
29998 - 30010, <Person>
30019 - 30028, <Person>
30062 - 30072, <Person>
30188 - 30192, <Person>
30327 - 30330, <Person>
30468 - 30472, <Person>
30499 - 30512, <Person>
30535 - 30539, <Person>
30549 - 30553, <Person>
30733 - 30737, <Person>
30786 - 30790, <Person>
30838 - 30842, <Person>
30971 - 30974, <Person>
30995 - 30999, <Person>
31130 - 31134, <Person>
31167 - 31173, <Location>
31195 - 31213, <Person>
31225 - 31232, <Person>
32135 - 32141, <Person>
32135 - 32141, <Person>
32884 - 32900, <Org>
32902 - 32910, <Location>
33015 - 33030, <Person>
33033 - 33039, <Person>
33042 - 33061, <Person>
33172 - 33184, <Person>
33252 - 33269, <Person>
33779 - 33801, <Person>
33779 - 33801, <Person>
33803 - 33812, <Person>
33825 - 33837, <Person>
33927 - 33936, <Person>
33946 - 33958, <Org>
34017 - 34022, <Person>
34125 - 34134, <Person>
34150 - 34156, <Person>
34183 - 34189, <Person>
34193 - 34199, <Person>
34201 - 34216, <Person>
34219 - 34237, <Person>
34258 - 34268, <Person>
34334 - 34340, <Person>
34429 - 34435, <Person>
34476 - 34486, <Person>
34476 - 34486, <Person>
34507 - 34513, <Person>
34616 - 34625, <Person>
34668 - 34685, <Person>
34668 - 34685, <Person>
34736 - 34748, <Person>
34751 - 34772, <Person>
34751 - 34772, <Person>
34788 - 34794, <Person>
34797 - 34828, <Person>
34831 - 34837, <Person>
34864 - 34871, <Person>
34874 - 34879, <Person>
34915 - 34921, <Person>
34932 - 34945, <Location>
35068 - 35072, <Person>
35133 - 35137, <Person>
35255 - 35259, <Org>
35249 - 35280, <Person>
35249 - 35280, <Person>
35301 - 35315, <Location>
35318 - 35325, <Location>
35340 - 35347, <Org>
35395 - 35406, <Location>
35428 - 35435, <Person>
35550 - 35561, <Person>
35621 - 35627, <Location>
35680 - 35698, <Person>
35680 - 35698, <Person>
35734 - 35749, <Org>
36070 - 36076, <Person>
36591 - 36606, <Person>
36616 - 36622, <Location>
36608 - 36622, <Person>
36970 - 36976, <Location>
36991 - 36997, <Location>
37044 - 37050, <Location>
38575 - 38579, <Location>
39624 - 39630, <Location>
39632 - 39639, <Location>
39665 - 39672, <Location>
39720 - 39726, <Location>
39812 - 39819, <Location>
39854 - 39861, <Location>
39864 - 39870, <Person>
39935 - 39941, <Location>
40135 - 40144, <Location>
40160 - 40165, <Location>
40199 - 40205, <Location>
40312 - 40318, <Location>
40344 - 40350, <Location>
40352 - 40358, <Location>
40381 - 40385, <Location>
40406 - 40412, <Location>
40456 - 40465, <Org>
40477 - 40481, <Location>
40484 - 40499, <Location>
40544 - 40549, <Location>
40599 - 40603, <Person>
