
#####################################################################################################
###################################MATCHES###########################################################
#####################################################################################################
366 - 369, <Org>
409 - 416, <Person>
699 - 700, <Person>
922 - 929, <Location>
922 - 929, <Location>
1045 - 1059, <Person>
1313 - 1320, <Location>
1448 - 1455, <Location>
1458 - 1466, <Location>
1528 - 1534, <Location>
1536 - 1541, <Location>
1544 - 1550, <Location>
1608 - 1622, <Location>
1897 - 1904, <Location>
1970 - 1982, <Person>
2170 - 2177, <Location>
2461 - 2465, <Person>
2605 - 2612, <Location>
2670 - 2674, <Person>
3539 - 3545, <Location>
3554 - 3561, <Location>
4018 - 4022, <Person>
4204 - 4208, <Person>
4693 - 4697, <Person>
5316 - 5328, <Person>
5631 - 5649, <Person>
6308 - 6316, <Person>
6672 - 6685, <Person>
15293 - 15302, <Person>
20093 - 20108, <Person>
20112 - 20117, <Location>
20231 - 20236, <Person>
20319 - 20324, <Person>
20337 - 20344, <Person>
20488 - 20492, <Location>
20686 - 20693, <Location>
28514 - 28521, <Location>
31130 - 31134, <Person>
32743 - 32746, <Person>
35260 - 35280, <Person>
35260 - 35280, <Person>
35309 - 35315, <Location>
35318 - 35325, <Location>
35340 - 35347, <Org>
35395 - 35406, <Location>
36591 - 36606, <Person>
36616 - 36622, <Location>
36970 - 36976, <Location>
36991 - 36997, <Location>
37044 - 37050, <Location>
39624 - 39630, <Location>
39632 - 39639, <Location>
39665 - 39672, <Location>
39720 - 39726, <Location>
39812 - 39819, <Location>
39854 - 39861, <Location>
39935 - 39941, <Location>
40135 - 40144, <Location>
40199 - 40205, <Location>
40312 - 40318, <Location>
40344 - 40350, <Location>
40352 - 40358, <Location>
40406 - 40412, <Location>
41633 - 41640, <Person>
41704 - 41710, <Location>
42766 - 42773, <Person>
42766 - 42773, <Person>
43128 - 43134, <Location>
44120 - 44126, <Location>
44204 - 44210, <Location>
46327 - 46333, <Location>
46382 - 46388, <Location>
46867 - 46876, <Location>
46897 - 46904, <Location>
46940 - 46946, <Location>
46996 - 47003, <Location>
47168 - 47178, <Person>
47421 - 47427, <Location>
47583 - 47588, <Location>
47620 - 47625, <Location>
47714 - 47721, <Location>
47748 - 47753, <Person>
47887 - 47890, <Location>
47914 - 47917, <Location>
48054 - 48062, <Location>
48101 - 48110, <Org>
48101 - 48110, <Org>
48235 - 48242, <Location>
48444 - 48449, <Location>
48478 - 48484, <Location>
48514 - 48519, <Location>
48550 - 48557, <Location>
48885 - 48891, <Person>
49751 - 49758, <Location>
49919 - 49924, <Person>
49963 - 49970, <Location>
50311 - 50319, <Location>
51684 - 51691, <Location>
51872 - 51890, <Person>
52189 - 52195, <Location>
52275 - 52292, <Person>
52301 - 52320, <Person>
52643 - 52646, <Location>
52648 - 52654, <Location>
52656 - 52665, <Location>
53183 - 53190, <Location>
54550 - 54554, <Org>
55009 - 55016, <Location>
55009 - 55016, <Location>
55287 - 55294, <Location>
57324 - 57334, <Location>
57850 - 57856, <Location>
58371 - 58387, <Person>
58730 - 58747, <Person>
58823 - 58838, <Person>
58984 - 58999, <Person>
59188 - 59207, <Person>
59426 - 59443, <Person>
59834 - 59841, <Person>
60820 - 60838, <Person>
60913 - 60928, <Person>
60931 - 60950, <Person>
61081 - 61097, <Person>
61503 - 61519, <Person>
61811 - 61814, <Location>
62288 - 62304, <Person>
62715 - 62729, <Person>
62715 - 62729, <Person>
62885 - 62903, <Person>
63481 - 63497, <Person>
64456 - 64462, <Location>
64850 - 64862, <Person>
64951 - 64963, <Person>
64951 - 64963, <Person>
66396 - 66418, <Person>
67521 - 67536, <Person>
67521 - 67536, <Person>
67733 - 67746, <Person>
67733 - 67746, <Person>
67870 - 67889, <Person>
68406 - 68422, <Person>
68483 - 68490, <Location>
68654 - 68670, <Person>
69000 - 69007, <Location>
69055 - 69062, <Location>
69422 - 69440, <Person>
69422 - 69440, <Person>
69445 - 69457, <Person>
70336 - 70351, <Person>
70546 - 70562, <Person>
70995 - 71013, <Person>
71145 - 71155, <Location>
71201 - 71205, <Location>
71604 - 71610, <Location>
72258 - 72286, <Person>
72258 - 72286, <Person>
72323 - 72342, <Person>
72349 - 72372, <Person>
73239 - 73246, <Org>
73239 - 73246, <Org>
73239 - 73246, <Org>
75288 - 75306, <Person>
75577 - 75586, <Location>
75985 - 75999, <Person>
76014 - 76032, <Person>
76437 - 76455, <Person>
77725 - 77741, <Person>
80044 - 80063, <Person>
82637 - 82643, <Person>
82683 - 82687, <Org>
82708 - 82726, <Person>
83712 - 83725, <Person>
84002 - 84014, <Person>
84002 - 84014, <Person>
84016 - 84040, <Person>
84016 - 84040, <Person>
84411 - 84417, <Person>
84450 - 84453, <Location>
84635 - 84641, <Location>
84820 - 84826, <Location>
84828 - 84835, <Location>
84838 - 84848, <Location>
85894 - 85907, <Person>
86146 - 86157, <Location>
86159 - 86167, <Location>
86169 - 86179, <Location>
86181 - 86189, <Location>
86197 - 86203, <Location>
86506 - 86525, <Person>
86506 - 86525, <Person>
87875 - 87881, <Location>
87883 - 87890, <Location>
87893 - 87904, <Location>
88121 - 88127, <Location>
88192 - 88203, <Org>
88231 - 88246, <Person>
88461 - 88464, <Location>
88651 - 88657, <Person>
91033 - 91037, <Org>
94076 - 94084, <Location>
94239 - 94245, <Location>
94338 - 94341, <Location>
94856 - 94859, <Location>
94892 - 94905, <Person>
94892 - 94905, <Person>
95921 - 95928, <Org>
96560 - 96572, <Person>
96586 - 96592, <Location>
96617 - 96631, <Person>
97074 - 97087, <Person>
97856 - 97872, <Person>
97909 - 97921, <Person>
97935 - 97941, <Location>
97966 - 97980, <Person>
98423 - 98436, <Person>
99205 - 99221, <Person>
99253 - 99263, <Org>
99323 - 99329, <Location>
99442 - 99452, <Org>
99498 - 99508, <Org>
100855 - 100865, <Org>
100963 - 100970, <Org>
100963 - 100970, <Org>
100963 - 100970, <Org>
101026 - 101033, <Location>
102633 - 102638, <Person>
103330 - 103343, <Person>
103461 - 103466, <Person>
103644 - 103656, <Location>
104006 - 104019, <Person>
104705 - 104711, <Location>
104705 - 104711, <Location>
105426 - 105432, <Location>
105960 - 105973, <Person>
106274 - 106280, <Location>
106782 - 106798, <Person>
106869 - 106881, <Location>
106891 - 106904, <Person>
106891 - 106904, <Person>
107583 - 107588, <Location>
107601 - 107606, <Location>
107615 - 107621, <Location>
107741 - 107753, <Location>
108139 - 108145, <Location>
108151 - 108158, <Location>
108268 - 108271, <Org>
108496 - 108502, <Location>
109333 - 109341, <Org>
109393 - 109399, <Location>
109401 - 109411, <Location>
109454 - 109469, <Person>
109814 - 109829, <Person>
109996 - 110002, <Location>
110097 - 110110, <Person>
110349 - 110363, <Person>
110519 - 110525, <Location>
110931 - 110937, <Location>
111040 - 111055, <Person>
111339 - 111345, <Location>
111376 - 111392, <Person>
111432 - 111438, <Location>
111707 - 111717, <Location>
111976 - 111991, <Person>
112190 - 112196, <Location>
112320 - 112340, <Person>
112697 - 112711, <Person>
113000 - 113014, <Person>
115616 - 115626, <Person>
115654 - 115660, <Location>
115806 - 115814, <Person>
115907 - 115913, <Location>
115960 - 115966, <Location>
115981 - 115988, <Location>
116037 - 116043, <Person>
116046 - 116051, <Person>
116093 - 116104, <Person>
116135 - 116141, <Location>
116531 - 116549, <Person>
116531 - 116549, <Person>
116669 - 116681, <Person>
116695 - 116701, <Location>
116726 - 116740, <Person>
117183 - 117196, <Person>
117965 - 117981, <Person>
118846 - 118861, <Person>
119119 - 119135, <Person>
120978 - 120983, <Location>
121057 - 121064, <Location>
121116 - 121123, <Location>
121154 - 121159, <Location>
121287 - 121294, <Org>
121287 - 121294, <Org>
121450 - 121457, <Location>
121464 - 121470, <Location>
121857 - 121868, <Person>
122457 - 122468, <Person>
122926 - 122932, <Location>
123480 - 123486, <Location>
125109 - 125116, <Person>
125618 - 125625, <Person>
125868 - 125881, <Location>
126895 - 126910, <Person>
127254 - 127261, <Person>
127463 - 127470, <Person>
127593 - 127600, <Person>
127640 - 127653, <Person>
129677 - 129683, <Location>
130425 - 130431, <Location>
130730 - 130736, <Location>
132019 - 132026, <Location>
133356 - 133362, <Location>
134667 - 134673, <Location>
134999 - 135016, <Person>
137070 - 137077, <Location>
137079 - 137085, <Location>
137096 - 137102, <Location>
137216 - 137231, <Person>
137254 - 137260, <Location>
137607 - 137619, <Person>
137638 - 137656, <Person>
138028 - 138041, <Person>
138028 - 138041, <Person>
138100 - 138119, <Person>
138100 - 138119, <Person>
138343 - 138357, <Person>
138343 - 138357, <Person>
138661 - 138668, <Org>
138661 - 138668, <Org>
138661 - 138668, <Org>
140672 - 140685, <Person>
140672 - 140685, <Person>
140841 - 140855, <Org>
141287 - 141290, <Org>
141518 - 141532, <Org>
141659 - 141665, <Location>
142052 - 142056, <Org>
