
#####################################################################################################
###################################MATCHES###########################################################
#####################################################################################################
239 - 252, <Person>
315 - 317, <Location>
673 - 675, <Location>
800 - 810, <Location>
838 - 858, <Person>
988 - 1004, <Org>
988 - 1004, <Org>
1008 - 1032, <Org>
1040 - 1044, <Org>
1332 - 1337, <Org>
1372 - 1376, <Org>
1425 - 1432, <Location>
1516 - 1527, <Location>
1544 - 1552, <Location>
1802 - 1814, <Location>
1870 - 1875, <Org>
2166 - 2176, <Org>
2364 - 2381, <Location>
2406 - 2411, <Org>
2431 - 2442, <Person>
2491 - 2506, <Person>
2514 - 2520, <Location>
2680 - 2690, <Location>
2714 - 2722, <Person>
2820 - 2830, <Location>
2866 - 2880, <Location>
2899 - 2917, <Person>
3049 - 3062, <Location>
3150 - 3163, <Location>
3166 - 3176, <Location>
3312 - 3325, <Location>
3335 - 3355, <Location>
3418 - 3427, <Location>
3432 - 3437, <Location>
3440 - 3450, <Location>
3489 - 3505, <Location>
3561 - 3573, <Location>
3666 - 3673, <Location>
3865 - 3878, <Location>
3945 - 3951, <Location>
3956 - 3964, <Location>
4052 - 4064, <Location>
4088 - 4100, <Person>
4123 - 4134, <Location>
4151 - 4158, <Location>
4356 - 4363, <Location>
4383 - 4395, <Location>
4555 - 4566, <Location>
4671 - 4678, <Location>
4819 - 4826, <Location>
4968 - 4981, <Location>
5819 - 5827, <Org>
6007 - 6025, <Location>
6194 - 6202, <Org>
6328 - 6337, <Location>
6342 - 6361, <Location>
6402 - 6415, <Location>
6487 - 6500, <Person>
6520 - 6558, <Org>
6639 - 6675, <Org>
6721 - 6734, <Location>
6765 - 6777, <Location>
6825 - 6838, <Location>
7132 - 7143, <Person>
7150 - 7157, <Location>
7409 - 7427, <Person>
7556 - 7572, <Person>
7662 - 7669, <Location>
7739 - 7750, <Location>
8001 - 8008, <Location>
8133 - 8145, <Location>
8212 - 8219, <Location>
8255 - 8261, <Person>
8451 - 8457, <Person>
8625 - 8641, <Location>
8661 - 8672, <Person>
9257 - 9265, <Person>
9269 - 9273, <Person>
9281 - 9303, <Location>
9395 - 9421, <Person>
9563 - 9575, <Person>
9753 - 9764, <Person>
9889 - 9905, <Person>
9980 - 10002, <Location>
10158 - 10188, <Org>
10201 - 10205, <Org>
10249 - 10262, <Person>
10294 - 10304, <Location>
10332 - 10336, <Location>
10390 - 10403, <Org>
10537 - 10550, <Org>
10594 - 10602, <Org>
10610 - 10636, <Org>
10663 - 10682, <Person>
10687 - 10708, <Person>
10713 - 10728, <Person>
11366 - 11385, <Person>
11511 - 11524, <Org>
11557 - 11577, <Org>
11708 - 11719, <Location>
11722 - 11732, <Location>
11745 - 11755, <Person>
11758 - 11770, <Person>
11773 - 11787, <Person>
11810 - 11820, <Person>
11839 - 11846, <Person>
11942 - 11954, <Person>
12105 - 12116, <Person>
12121 - 12133, <Person>
12218 - 12234, <Person>
12397 - 12406, <Person>
12707 - 12712, <Person>
12757 - 12769, <Person>
12809 - 12813, <Org>
12838 - 12849, <Org>
13543 - 13546, <Org>
13683 - 13687, <Org>
13826 - 13830, <Org>
13892 - 13915, <Org>
13918 - 13932, <Org>
13969 - 13986, <Org>
14077 - 14089, <Person>
14095 - 14100, <Person>
14105 - 14112, <Person>
14335 - 14339, <Org>
14902 - 14908, <Location>
14920 - 14931, <Org>
16089 - 16093, <Org>
16213 - 16230, <Person>
16233 - 16245, <Person>
16248 - 16259, <Org>
16796 - 16803, <Org>
18724 - 18730, <Org>
18751 - 18755, <Person>
18760 - 18769, <Person>
19568 - 19579, <Org>
19735 - 19738, <Org>
19760 - 19777, <Org>
19781 - 19790, <Location>
19793 - 19803, <Location>
19925 - 19940, <Org>
19944 - 19957, <Location>
19960 - 19970, <Location>
20262 - 20269, <Location>
20650 - 20659, <Org>
20720 - 20726, <Org>
20739 - 20747, <Location>
20865 - 20880, <Org>
20891 - 20898, <Location>
21063 - 21068, <Location>
21149 - 21156, <Location>
21224 - 21229, <Location>
21265 - 21274, <Org>
21288 - 21317, <Org>
21320 - 21325, <Org>
21340 - 21352, <Org>
21612 - 21617, <Location>
21735 - 21754, <Org>
21970 - 21986, <Org>
22136 - 22148, <Org>
22342 - 22354, <Org>
22800 - 22809, <Org>
22828 - 22832, <Org>
