
#####################################################################################################
###################################MATCHES###########################################################
#####################################################################################################
201 - 215, <Person>
922 - 929, <Location>
1239 - 1248, <Person>
1313 - 1320, <Location>
1448 - 1455, <Location>
1458 - 1466, <Location>
1528 - 1534, <Location>
1536 - 1541, <Location>
1544 - 1550, <Location>
1608 - 1622, <Location>
1735 - 1743, <Org>
1756 - 1762, <Person>
1877 - 1895, <Org>
2201 - 2223, <Org>
2348 - 2355, <Person>
2518 - 2527, <Person>
2605 - 2612, <Location>
2926 - 2935, <Person>
3229 - 3236, <Location>
3247 - 3252, <Person>
3539 - 3545, <Location>
3830 - 3838, <Location>
4036 - 4066, <Org>
5586 - 5597, <Person>
5631 - 5649, <Person>
5746 - 5757, <Person>
5902 - 5917, <Person>
6116 - 6126, <Location>
6128 - 6148, <Location>
6152 - 6171, <Person>
18753 - 18763, <Person>
20093 - 20108, <Person>
20109 - 20117, <Location>
20119 - 20134, <Location>
20309 - 20324, <Person>
20327 - 20344, <Person>
20348 - 20356, <Location>
20485 - 20492, <Location>
20683 - 20693, <Location>
21377 - 21396, <Org>
23142 - 23154, <Person>
23312 - 23319, <Person>
23330 - 23337, <Person>
23434 - 23436, <Person>
23452 - 23456, <Person>
23618 - 23622, <Person>
24081 - 24087, <Person>
24134 - 24142, <Person>
24285 - 24291, <Person>
25385 - 25389, <Person>
25805 - 25809, <Person>
26471 - 26485, <Person>
28514 - 28521, <Location>
28687 - 28692, <Org>
28724 - 28727, <Person>
29606 - 29610, <Person>
30019 - 30028, <Person>
30062 - 30072, <Person>
31130 - 31144, <Person>
31167 - 31173, <Location>
32135 - 32148, <Person>
32902 - 32910, <Location>
33033 - 33039, <Person>
33172 - 33184, <Person>
33252 - 33269, <Person>
33803 - 33812, <Person>
33946 - 33958, <Org>
34201 - 34216, <Person>
34219 - 34237, <Person>
34810 - 34828, <Person>
34859 - 34871, <Person>
34932 - 34945, <Location>
35255 - 35259, <Org>
35260 - 35280, <Person>
35309 - 35315, <Location>
35318 - 35325, <Location>
35336 - 35347, <Org>
35395 - 35406, <Location>
35428 - 35435, <Person>
35550 - 35561, <Person>
35621 - 35627, <Location>
35680 - 35698, <Person>
35734 - 35749, <Org>
36070 - 36076, <Person>
36616 - 36622, <Location>
36970 - 36976, <Location>
36991 - 36997, <Location>
37044 - 37050, <Location>
38575 - 38579, <Location>
39624 - 39630, <Location>
39632 - 39639, <Location>
39665 - 39672, <Location>
39720 - 39726, <Location>
39812 - 39819, <Location>
39854 - 39861, <Location>
39935 - 39941, <Location>
40135 - 40144, <Location>
40199 - 40205, <Location>
40312 - 40318, <Location>
40381 - 40385, <Location>
40484 - 40499, <Location>
40605 - 40610, <Location>
40613 - 40620, <Location>
41547 - 41551, <Person>
41633 - 41643, <Person>
41704 - 41710, <Location>
41921 - 41930, <Person>
42134 - 42139, <Person>
42142 - 42151, <Person>
42179 - 42188, <Person>
42351 - 42360, <Person>
43009 - 43014, <Location>
43017 - 43024, <Location>
43136 - 43141, <Location>
44120 - 44126, <Location>
44204 - 44210, <Location>
46327 - 46333, <Location>
46382 - 46388, <Location>
46840 - 46851, <Location>
46867 - 46876, <Location>
46897 - 46904, <Location>
46996 - 47003, <Location>
47421 - 47427, <Location>
47522 - 47548, <Org>
47714 - 47721, <Location>
47748 - 47753, <Person>
47761 - 47766, <Person>
47887 - 47890, <Location>
47914 - 47917, <Location>
48054 - 48062, <Location>
48100 - 48111, <Org>
48134 - 48144, <Org>
48235 - 48242, <Location>
48444 - 48449, <Location>
48478 - 48484, <Location>
48550 - 48557, <Location>
49963 - 49970, <Location>
50284 - 50292, <Person>
50407 - 50450, <Org>
50774 - 50780, <Location>
51361 - 51381, <Org>
51735 - 51742, <Location>
51942 - 51976, <Org>
52017 - 52040, <Person>
52275 - 52292, <Person>
52466 - 52481, <Org>
52616 - 52620, <Location>
52648 - 52654, <Location>
52656 - 52665, <Location>
53634 - 53641, <Person>
53701 - 53710, <Location>
54544 - 54554, <Org>
55475 - 55482, <Person>
57822 - 57831, <Person>
57850 - 57856, <Location>
58173 - 58201, <Org>
58371 - 58387, <Person>
58730 - 58756, <Person>
58774 - 58779, <Person>
59640 - 59644, <Location>
59739 - 59748, <Org>
59879 - 59901, <Org>
60101 - 60108, <Person>
60806 - 60819, <Person>
60820 - 60838, <Person>
61069 - 61078, <Person>
61673 - 61677, <Org>
61705 - 61735, <Person>
61816 - 61834, <Org>
62365 - 62371, <Person>
62373 - 62382, <Person>
62385 - 62392, <Person>
62723 - 62729, <Person>
62769 - 62837, <Org>
62838 - 62847, <Person>
